stoppingpoint,effective_question_numbers,is_yesorno,GBS_candidates_left,U_difference,preference_difference,change_top1,rels
0.1,0,0,2127,0,0.0,1,continue
0.1,0,0,2127,0,0.0,0,continue
0.1,0,0,2127,0,0.0,0,continue
0.1,0,0,2127,0,0.0,0,continue
0.1,0,0,2127,0,0.0,0,continue
0.1,0,0,2127,0,0.0,0,continue
0.1,0,0,2127,0,0.0,0,continue
0.1,1,1,589,1538,0.9967177717192274,0,continue
0.1,1,0,589,0,0.0,0,continue
0.1,1,0,589,0,0.0,0,continue
0.1,1,0,589,0,0.0,0,continue
0.1,1,0,589,0,0.0,0,continue
0.1,1,0,589,0,0.0,0,continue
0.1,1,0,589,0,0.0,0,continue
0.1,1,0,589,0,0.0,0,continue
0.1,1,0,589,0,0.0,0,continue
0.1,1,0,589,0,0.0,0,continue
0.1,2,1,421,168,0.7881969469247352,1,continue
0.1,2,0,421,0,0.0,0,continue
0.1,3,1,303,118,0.21390647067087798,0,continue
0.1,3,0,303,0,0.0,0,continue
0.1,4,1,232,71,0.09832207765381794,0,continue
0.1,5,1,177,55,0.08931068690537204,0,continue
0.1,5,0,177,0,0.0,0,continue
0.1,5,0,177,0,0.0,0,continue
0.1,5,0,177,0,0.0,0,continue
0.1,5,0,177,0,0.0,0,continue
0.1,5,0,177,0,0.0,0,continue
0.1,6,1,143,34,0.06739344462319123,0,continue
0.1,6,0,143,0,0.0,0,continue
0.1,6,0,143,0,0.0,0,continue
0.1,6,0,143,0,0.0,0,continue
0.1,7,1,118,25,0.0483419910050391,0,continue
0.1,7,0,118,0,0.0,0,continue
0.1,8,1,99,19,0.030288196927720553,0,continue
0.1,8,0,99,0,0.0,0,continue
0.1,8,0,99,0,0.0,0,continue
0.1,8,0,99,0,0.0,0,continue
0.1,8,0,99,0,0.0,0,continue
0.1,9,1,85,14,0.02732419807434252,0,continue
0.1,9,0,85,0,0.0,0,continue
0.1,9,0,85,0,0.0,0,continue
0.1,9,0,85,0,0.0,0,continue
0.1,9,0,85,0,0.0,0,continue
0.1,10,1,74,11,0.023067920861040297,0,continue
0.1,11,1,64,10,0.017505905820083868,0,continue
0.1,12,1,54,10,0.01749499956100282,0,continue
0.1,13,1,45,9,0.013736515060522408,0,continue
0.1,14,1,38,7,0.011245611204067245,0,continue
0.1,15,1,31,7,0.01900551341428257,0,continue
0.1,15,0,31,0,0.0,0,continue
0.1,15,0,31,0,0.0,0,continue
0.1,15,0,31,0,0.0,0,continue
0.1,16,1,26,5,0.02864324333697749,0,continue
0.1,16,0,26,0,0.0,0,continue
0.1,16,0,26,0,0.0,0,continue
0.1,16,0,26,0,0.0,0,continue
0.1,16,0,26,0,0.0,0,continue
0.1,16,0,26,0,0.0,0,continue
0.1,16,0,26,0,0.0,0,continue
0.1,16,0,26,0,0.0,0,continue
0.1,16,0,26,0,0.0,0,continue
0.1,17,1,22,4,0.008086410381854989,0,continue
0.1,17,0,22,0,0.0,0,continue
0.1,17,0,22,0,0.0,0,continue
0.1,17,0,22,0,0.0,0,continue
0.1,17,0,22,0,0.0,0,continue
0.1,17,0,22,0,0.0,0,continue
0.1,18,1,19,3,0.007575390625697556,0,continue
0.1,18,0,19,0,0.0,0,continue
0.1,18,0,19,0,0.0,0,continue
0.1,18,0,19,0,0.0,0,continue
0.1,18,0,19,0,0.0,0,continue
0.1,18,0,19,0,0.0,0,continue
0.1,18,0,19,0,0.0,0,continue
0.1,18,0,19,0,0.0,0,continue
0.1,19,1,16,3,0.00482703209949365,0,continue
0.1,19,0,16,0,0.0,0,continue
0.1,19,0,16,0,0.0,0,continue
0.1,19,0,16,0,0.0,0,continue
0.1,19,0,16,0,0.0,0,continue
0.1,19,0,16,0,0.0,0,continue
0.1,19,0,16,0,0.0,0,continue
0.1,20,1,14,2,0.0045210834883290234,0,continue
0.1,20,0,14,0,0.0,0,continue
0.1,21,1,12,2,0.012945454468523809,0,continue
0.1,21,0,12,0,0.0,0,continue
0.1,21,0,12,0,0.0,0,continue
0.1,21,0,12,0,0.0,0,continue
0.1,21,0,12,0,0.0,0,continue
0.1,21,0,12,0,0.0,0,continue
0.1,21,0,12,0,0.0,0,continue
0.1,21,0,12,0,0.0,0,continue
0.1,22,1,10,2,0.00735563100388136,0,continue
0.1,23,1,8,2,0.0052286587750243006,0,continue
0.1,23,0,8,0,0.0,0,stop
0.1,23,0,8,0,0.0,0,stop
0.1,23,0,8,0,0.0,0,stop
0.1,23,0,8,0,0.0,0,stop
0.1,23,0,8,0,0.0,0,stop
0.1,0,0,1331,0,0.0,1,continue
0.1,0,0,1331,0,0.0,0,continue
0.1,0,0,1331,0,0.0,0,continue
0.1,0,0,1331,0,0.0,0,continue
0.1,0,0,1331,0,0.0,0,continue
0.1,0,0,1331,0,0.0,0,continue
0.1,1,1,924,407,0.5504695364770112,0,continue
0.1,2,1,646,278,0.2868447127463176,0,continue
0.1,2,0,646,0,0.0,0,continue
0.1,3,1,473,173,0.18912018993100058,0,continue
0.1,4,1,136,337,0.16208451509621544,0,continue
0.1,4,0,136,0,0.0,0,continue
0.1,5,1,86,50,0.12764614832526822,0,continue
0.1,5,0,86,0,0.0,0,continue
0.1,6,1,59,27,0.07810522076645604,0,continue
0.1,6,0,59,0,0.0,0,continue
0.1,7,1,42,17,0.0679622028675832,0,continue
0.1,7,0,42,0,0.0,0,continue
0.1,8,1,10,32,0.06218428524468155,0,continue
0.1,8,0,10,0,0.0,0,continue
0.1,8,0,10,0,0.0,0,continue
0.1,9,1,6,4,0.03995105577504338,0,continue
0.1,10,1,3,3,0.022885490218180704,0,continue
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
0.1,10,0,3,0,0.0,0,stop
